ORG_SA_CD,ORG_RO_NM
113,COCHIN RET RO
114,COCHIN RET RO
179,COCHIN RET RO
226,COCHIN RET RO
118,COIMBATORE RET RO
119,COIMBATORE RET RO
120,COIMBATORE RET RO
181,COIMBATORE RET RO
121,MADURAI RET RO
122,MADURAI RET RO
125,MADURAI RET RO
182,MADURAI RET RO
225,MADURAI RET RO
244,MADURAI RET RO
099,MANGALORE RET RO
126,MANGALORE RET RO
127,MANGALORE RET RO
183,MANGALORE RET RO
209,MANGALORE RET RO
130,SECUNDRABAD RET RO
131,SECUNDRABAD RET RO
681,SECUNDRABAD RET RO
205,SECUNDRABAD RET RO
674,JABALPUR RET RO
211,SECUNDRABAD RET RO
268,SECUNDRABAD RET RO
280,SECUNDRABAD RET RO
137,VIJAYAWADA RET RO
185,VIJAYAWADA RET RO
188,VIJAYAWADA RET RO
235,VIJAYAWADA RET RO
283,VIJAYAWADA RET RO
625,VIJAYAWADA RET RO
140,VISAKH RET RO
141,VISAKH RET RO
142,VISAKH RET RO
187,VISAKH RET RO
251,VISAKH RET RO
025,JALANDHAR RET RO
155,JALANDHAR RET RO
195,JALANDHAR RET RO
207,JALANDHAR RET RO
208,JALANDHAR RET RO
263,JALANDHAR RET RO
029,UDAIPUR RET RO
030,UDAIPUR RET RO
191,UDAIPUR RET RO
261,UDAIPUR RET RO
614,UDAIPUR RET RO
049,DURGAPUR RET RO
050,DURGAPUR RET RO
051,DURGAPUR RET RO
052,DURGAPUR RET RO
115,KOZHICODE RET
116,KOZHICODE RET
128,KOZHICODE RET
129,KOZHICODE RET
145,KOZHICODE RET
287,KOZHICODE RET
040,GURGAON RET RO
194,GURGAON RET RO
196,GURGAON RET RO
197,GURGAON RET RO
284,GURGAON RET RO
012,BATHINDA RET RO
015,BATHINDA RET RO
156,BATHINDA RET RO
198,BATHINDA RET RO
554,BHUBANESWAR LUBES RO
200,BATHINDA RET RO
201,BATHINDA RET RO
072,JABALPUR RET RO
165,JABALPUR RET RO
166,JABALPUR RET RO
236,JABALPUR RET RO
277,JABALPUR RET RO
624,JABALPUR RET RO
008,DEHRADUN RET RO
009,DEHRADUN RET RO
154,DEHRADUN RET RO
242,DEHRADUN RET RO
013,SHIMLA RET RO
192,SHIMLA RET RO
249,SHIMLA RET RO
043,SAMBALPUR RET RO
158,SAMBALPUR RET RO
232,SAMBALPUR RET RO
057,BEGUSARAI RET RO
060,BEGUSARAI RET RO
214,BEGUSARAI RET RO
243,BEGUSARAI RET RO
294,BEGUSARAI RET RO
110,TRICHY RET RO
123,TRICHY RET RO
124,TRICHY RET RO
177,TRICHY RET RO
178,TRICHY RET RO
229,TRICHY RET RO
133,KADAPA RET RO
139,KADAPA RET RO
184,KADAPA RET RO
264,KADAPA RET RO
289,KADAPA RET RO
021,KOTA RET RO
022,KOTA RET RO
027,KOTA RET RO
259,KOTA RET RO
260,KOTA RET RO
135,NELLORE RET RO
136,NELLORE RET RO
186,NELLORE RET RO
282,NELLORE RET RO
616,NELLORE RET RO
038,HISSAR RET RO
153,HISSAR RET RO
202,HISSAR RET RO
203,HISSAR RET RO
088,SHOLAPUR RET RO
162,SHOLAPUR RET RO
190,SHOLAPUR RET RO
254,SHOLAPUR RET RO
293,SHOLAPUR RET RO
627,SHOLAPUR RET RO
001,KANPUR RET RO
032,KANPUR RET RO
669,BEGUSARAI RET RO
219,KANPUR RET RO
677,KOTA RET RO
609,KANPUR RET RO
132,WARANGAL RET RO
138,WARANGAL RET RO
212,WARANGAL RET RO
266,WARANGAL RET RO
682,SHOLAPUR RET RO
608,WARANGAL RET RO
676,KANPUR RET RO
067,NASIK RET RO
084,NASIK RET RO
096,NASIK RET RO
231,NASIK RET RO
036,GORAKHPUR RET RO
037,GORAKHPUR RET RO
248,GORAKHPUR RET RO
269,GORAKHPUR RET RO
117,SALEM RET RO
180,SALEM RET RO
224,SALEM RET RO
240,SALEM RET RO
055,SILIGURI RET RO
161,SILIGURI RET RO
091,BILASPUR RET RO
234,BILASPUR RET RO
292,BILASPUR RET RO
104,BELLARY RET RO
174,BELLARY RET RO
213,BELLARY RET RO
606,BELLARY RET RO
493,MUMBAI LUBES RO
573,MUMBAI LUBES RO
574,MUMBAI LUBES RO
575,MUMBAI LUBES RO
532,PUNE LUBES RO
581,PUNE LUBES RO
582,PUNE LUBES RO
583,PUNE LUBES RO
584,PUNE LUBES RO
534,BENGALURU LUBES RO
539,BENGALURU LUBES RO
592,BENGALURU LUBES RO
593,BENGALURU LUBES RO
514,CHENNAI LUBES RO
515,CHENNAI LUBES RO
595,CHENNAI LUBES RO
596,CHENNAI LUBES RO
529,AHMEDABAD LUBES RO
533,AHMEDABAD LUBES RO
568,AHMEDABAD LUBES RO
569,AHMEDABAD LUBES RO
461,DELHI LUBES RO
544,DELHI LUBES RO
545,DELHI LUBES RO
546,DELHI LUBES RO
601,DELHI LUBES RO
523,CHANDIGARH LUBES RO
540,CHANDIGARH LUBES RO
541,CHANDIGARH LUBES RO
542,CHANDIGARH LUBES RO
602,CHANDIGARH LUBES RO
524,JAIPUR LUBES RO
547,JAIPUR LUBES RO
548,JAIPUR LUBES RO
549,JAIPUR LUBES RO
645,CGD HOWRAH AND HOOGH
536,SECUNDRABAD LUBES RO
646,DARJEELING DINAJPUR
635,I&C HQO
062,DHANBAD RETAIL REGIO
591,SECUNDRABAD LUBES RO
477,KOLKATA LUBES RO
559,KOLKATA LUBES RO
560,KOLKATA LUBES RO
561,KOLKATA LUBES RO
525,LUCKNOW LUBES RO
550,LUCKNOW LUBES RO
551,LUCKNOW LUBES RO
552,LUCKNOW LUBES RO
535,COCHIN LUBES RO
597,COCHIN LUBES RO
598,COCHIN LUBES RO
599,COCHIN LUBES RO
530,BHOPAL LUBES RO
570,BHOPAL LUBES RO
571,BHOPAL LUBES RO
572,BHOPAL LUBES RO
531,NAGPUR LUBES RO
160,DHANBAD RETAIL REGIO
577,NAGPUR LUBES RO
578,NAGPUR LUBES RO
579,NAGPUR LUBES RO
233,DHANBAD RETAIL REGIO
033,PRAYAGRAJ RETAIL REG
218,PRAYAGRAJ RETAIL REG
553,JAMSHEDPUR LUBES RO
220,PRAYAGRAJ RETAIL REG
527,RANCHI LUBES RO
262,PRAYAGRAJ RETAIL REG
005,BAREILLY RETAIL REGI
562,RANCHI LUBES RO
563,RANCHI LUBES RO
564,RANCHI LUBES RO
555,BHUBANESWAR LUBES RO
528,VISAKH LUBES RO
567,VISAKH LUBES RO
589,VISAKH LUBES RO
590,VISAKH LUBES RO
538,RAIPUR LUBES RO
585,RAIPUR LUBES RO
586,RAIPUR LUBES RO
587,RAIPUR LUBES RO
628,LUBES HQO
007,BAREILLY RETAIL REGI
279,BAREILLY RETAIL REGI
611,BAREILLY RETAIL REGI
134,NIZAMABAD RETAIL REG
210,NIZAMABAD RETAIL REG
267,NIZAMABAD RETAIL REG
683,WARANGAL RET RO
621,NIZAMABAD RETAIL REG
073,GWALIOR RETAIL REGIO
217,GWALIOR RETAIL REGIO
672,GORAKHPUR RET RO
670,BELLARY RET RO
679,PRAYAGRAJ RETAIL REG
678,NIZAMABAD RETAIL REG
684,NADIA NOR 24PARGANAS
685,SOUTH 24 PARGANAS
686,TONK
687,DUMKA
688,MALDAH
661,LUCKNOW RET RO
689,QC HQO
690,PUNE I&C RO
691,SECUNDRABAD I&C RO
651,BENGALURU LUBES RO
653,DELHI LUBES RO
649,DELHI I&C RO
664,AHMEDABAD I&C RO
654,DELHI LUBES RO
655,CHANDIGARH LUBES RO
652,SECUNDRABAD LUBES RO
656,VISAKH LUBES RO
658,BARODA RET RO
659,BHOPAL RET RO
662,NASIK RET RO
660,BILASPUR RET RO
647,ITNS MR
648,ITNS VR
663,AHMEDABAD LPG RO
